num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
741,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.19,98.29,6.24,1.941,2.303,7.077,710,30,680,0,1089,7919,0.121,1.0,39.4
761,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.44,100.25,6.32,2.055,2.338,6.665,741,50,691,0,1128,8044,0.123,1.0,38.9
781,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,81.62,101.6,6.23,2.223,2.457,6.345,732,42,690,0,1150,8162,0.123,1.0,38.5
801,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,81.25,100.42,6.35,2.367,2.695,7.005,813,63,750,0,1073,8125,0.117,1.0,42.4
821,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.78,99.33,6.2,2.482,2.796,6.112,826,133,693,0,1245,7878,0.136,1.0,41.9
841,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.27,100.01,5.91,2.592,2.925,6.008,821,184,637,0,1230,8027,0.133,1.0,38.7
861,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.55,98.48,6.19,2.865,3.17,5.862,859,190,669,0,1199,7855,0.132,1.0,39.3
881,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.29,99.96,6.15,3.231,3.423,6.719,867,186,681,0,1199,8029,0.13,1.0,39.4
901,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.09,100.12,6.1,3.327,3.52,5.88,839,220,619,0,1253,8009,0.135,1.0,36.2
921,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.97,97.83,6.27,3.592,3.736,6.516,910,303,607,0,1148,7897,0.127,1.0,36.0
941,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.85,100.24,6.1,3.386,3.571,5.095,916,237,679,0,1240,7985,0.134,1.0,40.0
961,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.55,99.48,6.23,3.734,3.88,6.095,920,273,647,0,1243,7955,0.135,1.0,38.5
981,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.34,99.38,6.5,3.828,3.957,6.738,953,370,583,0,1194,8034,0.129,1.0,35.5
1001,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.5,100.63,6.45,3.965,4.023,5.711,990,332,658,0,1224,8050,0.132,1.0,37.7
1021,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.27,99.8,6.06,4.018,4.185,6.064,1040,361,679,0,1334,7927,0.144,1.0,43.4
1041,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.16,99.15,6.23,4.047,4.191,6.488,1044,420,624,0,1287,7916,0.14,1.0,37.5
1061,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.76,100.34,5.83,4.4,4.464,6.611,1039,379,660,0,1258,8076,0.135,1.0,40.5
1081,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.88,100.22,6.3,4.306,4.325,5.98,1082,419,663,0,1303,7988,0.14,1.0,41.4
1101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.06,99.92,6.12,4.546,4.566,5.968,1041,445,596,0,1279,8006,0.138,1.0,37.2
1121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,81.0,100.88,5.94,4.457,4.548,6.335,1157,491,666,0,1285,8100,0.137,1.0,42.3
1141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.34,100.0,6.43,5.074,4.941,6.059,1070,499,571,0,1284,8034,0.138,1.0,37.4
