num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
741,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,65.61,82.44,7.77,2.535,2.937,15.28,702,8,694,0,466,6561,0.066,0.8,22.3
761,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,63.88,80.58,7.04,2.583,2.818,14.969,731,7,724,0,510,6388,0.074,0.7,24.7
781,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,67.46,84.59,7.56,2.559,2.902,15.069,713,11,702,0,521,6746,0.072,1.0,23.9
801,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,68.72,86.51,8.38,2.723,3.201,15.91,709,8,701,0,475,6872,0.065,0.8,19.5
821,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,71.84,89.72,8.41,2.674,3.185,14.515,680,8,672,0,486,7184,0.063,0.8,18.1
841,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,70.97,88.9,6.86,2.457,2.683,13.237,798,11,787,0,617,7097,0.08,1.0,27.7
861,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,72.16,89.88,7.26,2.77,3.054,14.287,779,5,774,0,544,7216,0.07,0.5,24.6
881,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,75.85,94.0,8.54,2.934,3.356,14.595,740,20,720,0,461,7585,0.057,1.0,19.2
901,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,74.6,93.39,8.0,2.871,3.193,14.737,758,18,740,0,552,7460,0.069,1.0,18.7
921,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,76.93,95.71,8.09,2.996,3.365,14.617,799,7,792,0,535,7693,0.065,0.7,22.8
941,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,74.81,93.67,6.81,2.872,3.149,13.347,820,8,812,0,673,7481,0.083,0.8,25.5
961,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,76.74,96.13,7.49,2.936,3.295,13.259,832,12,820,0,630,7674,0.076,1.0,22.5
981,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,77.94,97.86,8.21,3.2,3.56,14.323,837,49,788,0,599,7794,0.071,1.0,19.1
1001,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.89,98.32,7.89,3.405,3.981,13.402,799,9,790,0,620,7889,0.073,0.9,20.5
1021,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.81,98.32,7.54,3.327,3.834,14.149,896,13,883,0,648,7881,0.076,1.0,26.4
1041,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.59,99.9,7.83,3.637,3.872,11.861,819,62,757,0,660,8059,0.076,1.0,20.4
1061,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.72,99.5,7.34,3.811,4.194,12.133,885,34,851,0,691,7972,0.08,1.0,24.1
1081,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.55,100.16,8.02,3.932,4.482,13.02,916,92,824,0,636,8055,0.073,1.0,22.9
1101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,81.56,101.55,7.79,3.835,4.432,14.835,931,52,879,0,659,8156,0.075,1.0,24.8
1121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.03,100.6,8.18,4.284,4.857,13.542,939,79,860,0,680,8003,0.078,1.0,22.3
1141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.33,100.16,7.82,4.464,4.87,13.193,962,90,872,0,712,8033,0.081,1.0,25.5
1161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.42,98.35,7.92,5.083,5.403,13.98,984,119,865,0,711,7842,0.083,1.0,24.9
1181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.86,99.04,8.42,5.496,5.796,14.505,954,207,747,0,608,7986,0.071,1.0,18.8
1201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.5,99.16,7.82,5.607,6.03,14.749,1027,220,807,0,704,7950,0.081,1.0,23.5
1221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.43,100.03,6.98,5.166,5.497,11.258,1037,121,916,0,849,7943,0.097,1.0,29.6
1241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.1,99.84,6.7,5.717,5.825,11.045,1189,295,894,0,861,8010,0.097,1.0,32.9
