num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
1,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,0.2,0.22,0.02,0.192,0.175,0.995,0,0,0,0,0,20,0.0,0.0,0.0
21,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,3.94,4.91,0.95,0.439,0.416,1.579,3,1,2,0,0,394,0.0,0.1,0.2
41,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,7.71,9.83,2.08,0.407,0.469,1.52,4,0,4,0,0,771,0.0,0.0,0.4
61,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,11.51,14.49,2.93,0.487,0.537,1.415,7,2,5,0,0,1151,0.0,0.2,0.5
81,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,15.41,18.89,3.43,0.536,0.593,1.565,5,0,5,0,0,1541,0.0,0.0,0.5
101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,19.1,23.9,4.73,0.593,0.642,1.478,8,1,7,0,0,1910,0.0,0.1,0.7
121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,22.82,28.91,6.01,0.628,0.691,1.465,10,2,8,0,0,2282,0.0,0.2,0.8
141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,26.61,33.27,6.62,0.676,0.713,1.5,8,4,4,0,0,2661,0.0,0.4,0.4
161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,30.2,37.81,7.52,0.757,0.81,1.6,13,4,9,0,0,3020,0.0,0.4,0.9
181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,33.74,42.04,8.16,0.806,0.848,1.75,17,3,14,0,0,3374,0.0,0.3,1.0
201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,36.61,46.19,9.48,0.994,1.051,2.33,18,8,10,0,0,3661,0.0,0.8,1.0
221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,39.76,49.86,9.81,1.069,1.152,2.657,34,5,29,0,0,3976,0.0,0.5,1.0
241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,39.4,49.62,9.35,1.531,1.677,5.081,91,4,87,0,0,3940,0.0,0.4,1.0
261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,39.87,50.41,9.84,1.852,2.124,6.882,77,7,70,0,0,3987,0.0,0.7,1.0
281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,42.81,53.61,10.11,2.088,2.338,7.458,74,5,69,0,0,4281,0.0,0.5,1.0
301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,44.63,55.66,9.93,2.176,2.572,8.28,114,4,110,0,0,4463,0.0,0.4,1.0
321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,46.87,58.23,10.1,2.24,2.484,8.252,130,4,126,0,0,4687,0.0,0.4,1.0
341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,44.57,55.88,10.28,2.248,2.77,12.506,108,5,103,0,0,4457,0.0,0.5,1.0
361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,48.14,59.7,10.1,2.419,2.964,11.845,152,6,146,0,0,4814,0.0,0.6,1.0
381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,46.07,58.08,10.15,2.376,2.937,13.843,190,4,186,0,0,4607,0.0,0.4,1.0
401,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,48.41,60.29,10.0,2.513,3.044,14.771,192,4,188,0,0,4841,0.0,0.4,1.0
421,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,47.4,59.51,9.87,2.492,3.009,16.886,227,3,224,0,0,4740,0.0,0.3,1.0
441,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,47.94,60.32,9.73,2.626,3.105,17.652,268,3,265,0,0,4794,0.0,0.3,1.0
461,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,48.79,60.97,9.52,2.63,3.09,19.582,274,8,266,0,0,4879,0.0,0.8,1.0
481,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,51.08,63.66,10.14,2.832,3.226,20.086,249,5,244,0,0,5108,0.0,0.5,1.0
501,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,52.16,65.46,10.12,2.772,3.325,18.745,321,3,318,0,0,5216,0.0,0.3,1.0
521,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,51.71,64.61,9.81,3.003,3.321,21.851,310,1,309,0,0,5171,0.0,0.1,1.0
541,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,51.96,64.84,9.52,3.031,3.381,21.243,344,8,336,0,0,5196,0.0,0.8,1.0
561,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.03,67.53,9.92,2.977,3.478,21.375,365,7,358,0,0,5403,0.0,0.7,1.0
581,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.11,67.99,10.03,3.017,3.584,22.073,389,4,385,0,0,5411,0.0,0.4,1.0
601,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,56.32,70.04,9.91,3.07,3.591,23.208,387,6,381,0,0,5632,0.0,0.6,1.0
621,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,57.23,71.5,10.17,3.033,3.616,22.255,415,5,410,0,0,5723,0.0,0.5,1.0
641,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.97,68.89,9.64,3.35,3.566,24.356,433,5,428,0,0,5497,0.0,0.5,1.0
661,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.67,68.73,9.43,3.518,3.756,24.459,469,6,463,0,0,5467,0.0,0.6,1.0
681,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,58.11,72.76,9.89,3.249,3.763,23.365,483,7,476,0,0,5811,0.0,0.7,1.0
701,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,58.05,72.73,9.67,3.32,3.754,23.821,504,3,501,0,0,5805,0.0,0.3,1.0
721,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,60.66,75.74,10.05,3.39,3.997,23.978,510,7,503,0,0,6066,0.0,0.7,1.0
741,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,57.84,73.07,9.67,3.444,3.808,24.765,559,3,556,0,0,5784,0.0,0.3,1.0
761,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,61.73,77.36,10.21,3.587,4.018,24.457,548,6,542,0,0,6173,0.0,0.6,1.0
781,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,63.28,78.8,10.05,3.649,3.971,24.944,552,5,547,0,0,6328,0.0,0.5,1.0
801,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,64.02,79.76,10.04,3.662,4.061,25.38,577,7,570,0,0,6402,0.0,0.7,1.0
821,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,67.89,83.99,10.37,3.618,4.324,24.462,583,10,573,0,0,6789,0.0,1.0,1.0
841,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,65.43,81.51,10.02,3.601,4.203,24.002,609,3,606,0,0,6543,0.0,0.3,1.0
861,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,67.15,83.67,10.14,3.539,4.264,23.688,645,7,638,0,0,6715,0.0,0.7,1.0
881,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,64.58,80.57,9.17,3.859,4.132,25.579,687,5,682,0,0,6458,0.0,0.5,1.0
901,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,68.54,85.29,10.07,3.921,4.308,25.56,673,5,668,0,0,6854,0.0,0.5,1.0
921,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,68.8,85.34,9.82,4.188,4.316,26.885,682,10,672,0,0,6880,0.0,1.0,1.0
941,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,65.43,82.29,9.57,4.19,4.233,25.252,734,5,729,0,0,6543,0.0,0.5,1.0
961,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,67.79,84.82,9.63,4.392,4.402,26.773,744,4,740,0,0,6779,0.0,0.4,1.0
981,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,68.63,86.1,10.12,4.543,4.471,25.87,742,7,735,0,0,6863,0.0,0.7,1.0
1001,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,69.23,86.33,9.5,4.417,4.482,28.613,767,7,760,0,0,6923,0.0,0.7,1.0
1021,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,70.82,88.58,10.14,5.058,4.486,26.85,769,7,762,0,0,7082,0.0,0.7,1.0
1041,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,71.3,88.98,9.57,3.986,4.502,26.018,815,4,811,0,0,7130,0.0,0.4,1.0
1061,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,72.15,90.25,9.97,5.385,4.741,24.838,817,4,813,0,0,7215,0.0,0.4,1.0
1081,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,73.17,91.61,10.44,4.479,4.683,27.009,811,11,800,0,0,7317,0.0,1.0,1.0
1101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,74.26,92.95,10.23,5.015,4.722,25.191,854,8,846,0,0,7426,0.0,0.8,1.0
1121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,73.06,91.91,10.09,5.252,4.758,24.405,887,11,876,0,0,7306,0.0,1.0,1.0
1141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,75.37,94.01,10.1,5.426,4.837,25.25,858,4,854,0,0,7537,0.0,0.4,1.0
1161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,77.65,96.39,10.27,5.777,5.322,25.237,857,10,847,0,0,7765,0.0,1.0,1.0
1181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,73.3,91.94,9.44,5.433,4.709,27.438,923,3,920,0,0,7330,0.0,0.3,1.0
1201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,76.29,95.58,9.95,5.579,4.973,24.353,943,9,934,0,0,7629,0.0,0.9,1.0
1221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,77.59,96.51,9.66,5.696,5.507,23.411,928,2,926,0,0,7759,0.0,0.2,1.0
