num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
1,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,0.19,0.3,0.11,0.528,0.404,0.716,0,0,0,0,0,19,0.0,0.0,0.0
21,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,4.03,4.94,0.9,0.346,0.32,1.302,1,0,1,0,0,403,0.0,0.0,0.1
41,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,7.79,9.99,2.19,0.404,0.462,1.481,1,0,1,0,0,779,0.0,0.0,0.1
61,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,11.64,14.43,2.75,0.46,0.504,1.34,5,1,4,0,0,1164,0.0,0.1,0.4
81,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,15.28,19.33,4.01,0.535,0.575,1.338,7,3,4,0,0,1528,0.0,0.3,0.4
101,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,19.19,23.88,4.66,0.585,0.628,1.437,6,3,3,0,0,1919,0.0,0.3,0.3
121,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,22.89,28.51,5.56,0.625,0.678,1.424,8,2,6,0,0,2289,0.0,0.2,0.6
141,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,26.54,33.03,6.46,0.669,0.724,1.53,7,4,3,0,0,2654,0.0,0.4,0.3
161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,30.19,37.58,7.3,0.712,0.76,1.613,12,3,9,0,0,3019,0.0,0.3,0.9
181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,33.91,42.49,8.47,0.771,0.807,1.64,15,4,11,0,0,3391,0.0,0.4,1.0
201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,36.59,45.9,9.15,0.981,1.035,2.273,20,4,16,0,0,3659,0.0,0.4,1.0
221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,39.63,49.81,9.94,1.141,1.201,2.713,30,6,24,0,0,3963,0.0,0.6,1.0
241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,43.39,54.04,10.24,1.106,1.178,2.559,44,3,41,0,0,4339,0.0,0.3,1.0
261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,44.28,54.98,10.27,1.552,1.663,4.382,49,6,43,0,0,4428,0.0,0.6,1.0
281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,40.07,50.52,9.45,1.997,2.491,9.293,107,7,100,0,0,4007,0.0,0.7,1.0
301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,42.45,53.08,9.51,2.129,2.503,10.178,117,5,112,0,0,4245,0.0,0.5,1.0
321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,43.92,55.03,9.8,2.211,2.694,10.615,133,2,131,0,0,4392,0.0,0.2,1.0
341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,44.62,56.62,10.56,2.243,2.788,11.473,147,3,144,0,0,4462,0.0,0.3,1.0
361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,46.5,57.53,9.63,2.369,2.886,13.751,145,7,138,0,3,4650,0.001,0.7,1.0
381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,48.69,60.25,10.05,2.459,3.0,13.485,160,9,151,0,2,4869,0.0,0.9,1.0
401,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,47.72,59.46,9.73,2.423,2.98,15.337,203,11,192,0,10,4772,0.002,1.0,1.0
421,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,45.22,57.12,9.65,2.805,2.906,18.259,220,6,214,0,21,4522,0.005,0.6,1.0
441,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,50.92,63.35,10.19,2.643,3.21,16.072,218,1,217,0,9,5092,0.002,0.1,1.0
461,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,54.12,66.84,10.19,2.759,3.37,15.467,258,10,248,0,8,5412,0.001,1.0,1.0
481,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,53.17,65.84,9.95,2.729,3.318,17.825,272,3,269,0,8,5317,0.002,0.3,1.0
